first_name,last_name,email,initial_rating
Liam,Carter,liam.carter@example.com,1923
Noah,Bennett,noah.bennett@example.com,1876
Oliver,Hayes,oliver.hayes@example.com,1954
Elijah,Foster,elijah.foster@example.com,1812
James,Griffin,james.griffin@example.com,1998
Lucas,Ward,lucas.ward@example.com,1745
Mason,Brooks,mason.brooks@example.com,1867
Logan,Price,logan.price@example.com,1033
Ethan,Coleman,ethan.coleman@example.com,1562
Aiden,Jenkins,aiden.jenkins@example.com,1489
Jackson,Perry,jackson.perry@example.com,1710
Sebastian,Powell,sebastian.powell@example.com,1385
Mateo,Russell,mateo.russell@example.com,1647
Henry,Sanders,henry.sanders@example.com,1201
Alexander,Patterson,alexander.patterson@example.com,1836
Daniel,Hughes,daniel.hughes@example.com,1073
Michael,Flores,michael.flores@example.com,1594
Benjamin,Washington,benjamin.washington@example.com,1762
Owen,Butler,owen.butler@example.com,1428
Samuel,Simmons,samuel.simmons@example.com,1917
Jack,Rogers,jack.rogers@example.com,1155
Wyatt,Reed,wyatt.reed@example.com,1683
John,Cook,john.cook@example.com,1340
David,Morgan,david.morgan@example.com,1521
Luke,Bell,luke.bell@example.com,1895
Julian,Murphy,julian.murphy@example.com,1044
Ryan,Bailey,ryan.bailey@example.com,1778
Nathan,Rivera,nathan.rivera@example.com,1266
Isaac,Cooper,isaac.cooper@example.com,1612
Caleb,Richardson,caleb.richardson@example.com,1839
Carlos,Cox,carlos.cox@example.com,1097
Christian,Howard,christian.howard@example.com,1453
Hunter,Ward,hunter.ward@example.com,1731
Connor,Torres,connor.torres@example.com,1182
Eli,Peterson,eli.peterson@example.com,1567
Aaron,Gray,aaron.gray@example.com,1988
Josiah,Ramirez,josiah.ramirez@example.com,1324
Thomas,James,thomas.james@example.com,1856
Charles,Watson,charles.watson@example.com,1412
Christopher,Brooks,christopher.brooks@example.com,1639
Jaxon,Kelly,jaxon.kelly@example.com,1070
Landon,Sanders,landon.sanders@example.com,1795
Grayson,Price,grayson.price@example.com,1237
Jordan,Bennett,jordan.bennett@example.com,1503
Levi,Wood,levi.wood@example.com,1944
Dylan,Barnes,dylan.barnes@example.com,1148
Jayden,Ross,jayden.ross@example.com,1671
Brayden,Henderson,brayden.henderson@example.com,1392
Adrian,Coleman,adrian.coleman@example.com,1823
Dominic,Jenkins,dominic.jenkins@example.com,1016
Camden,Perry,camden.perry@example.com,1587
Miles,Griffin,miles.griffin@example.com,1254
Sawyer,Hayes,sawyer.hayes@example.com,1762
Ezra,Foster,ezra.foster@example.com,1439
Declan,Ward,declan.ward@example.com,1905
Lincoln,Cox,lincoln.cox@example.com,1128
Colton,Rivera,colton.rivera@example.com,1694
Axel,Murphy,axel.murphy@example.com,1351
Zane,Cooper,zane.cooper@example.com,1816
Knox,Bailey,knox.bailey@example.com,1477
